Date,Product,Region,Sales
2011-03-25,Tablet,East,240.8
2011-03-26,Smartphone,North,233.69
2011-03-27,Smartphone,South,241.5
2011-03-28,Accessory,Central,277.05
2011-03-29,Accessory,North,262.49
2011-03-30,Smartwatch,North,241.12
2011-03-31,Smartphone,South,267.27
2011-04-01,Smartwatch,West,256.93
2011-04-02,Tablet,South,278.76
2011-04-03,Laptop,North,237.03
2011-04-04,Smartphone,West,246.41
2011-04-05,Tablet,East,244.8
2011-04-06,Smartphone,North,218.0
2011-04-07,Accessory,South,261.96
2011-04-08,Smartwatch,East,261.05
2011-04-09,Accessory,Central,254.59
2011-04-10,Laptop,East,248.53
2011-04-11,Accessory,South,218.92
2011-04-12,Smartphone,East,243.69
2011-04-13,Accessory,South,245.52
2011-04-14,Smartphone,North,233.91
2011-04-15,Laptop,West,249.79
2011-04-16,Accessory,Central,263.76
2011-04-17,Smartwatch,West,300.65
2011-04-18,Smartwatch,West,257.67
2011-04-19,Smartwatch,West,259.54
2011-04-20,Accessory,South,251.03
2011-04-21,Accessory,South,204.69
2011-04-22,Accessory,Central,251.75
2011-04-23,Smartphone,South,253.67
2011-04-24,Laptop,South,313.47
2011-04-25,Smartwatch,South,246.8
2011-04-26,Smartphone,South,258.85
2011-04-27,Smartwatch,North,250.13
2011-04-28,Smartphone,Central,221.46
2011-04-29,Accessory,South,278.91
2011-04-30,Smartwatch,Central,268.78
2011-05-01,Accessory,East,269.4
2011-05-02,Smartwatch,North,226.51
2011-05-03,Tablet,South,283.92
2011-05-04,Smartphone,North,213.41
2011-05-05,Tablet,North,262.71
2011-05-06,Smartphone,East,302.37
2011-05-07,Laptop,Central,222.41
2011-05-08,Smartwatch,North,232.56
2011-05-09,Laptop,West,248.75
2011-05-10,Laptop,East,233.19
2011-05-11,Smartphone,West,206.53
2011-05-12,Tablet,East,246.51
2011-05-13,Accessory,West,217.73
2011-05-14,Smartphone,West,255.6
2011-05-15,Accessory,North,220.25
2011-05-16,Laptop,North,281.44
2011-05-17,Accessory,East,222.55
2011-05-18,Tablet,Central,233.52
2011-05-19,Smartphone,North,261.34
2011-05-20,Tablet,North,209.64
2011-05-21,Tablet,South,245.51
2011-05-22,Smartphone,North,271.9
2011-05-23,Tablet,Central,198.42
2011-05-24,Smartwatch,South,242.6
2011-05-25,Smartwatch,West,243.85
2011-05-26,Smartwatch,West,256.25
2011-05-27,Accessory,South,205.14
2011-05-28,Tablet,South,202.39
2011-05-29,Smartphone,South,247.78
2011-05-30,Smartphone,East,241.49
2011-05-31,Accessory,Central,239.64
2011-06-01,Smartphone,Central,241.35
2011-06-02,Smartwatch,West,214.99
2011-06-03,Tablet,West,237.09
2011-06-04,Smartphone,West,237.9
2011-06-05,Smartphone,North,212.0
2011-06-06,Laptop,West,275.78
2011-06-07,Laptop,South,240.25
2011-06-08,Laptop,West,197.88
2011-06-09,Tablet,South,243.34
2011-06-10,Smartwatch,East,201.81
2011-06-11,Smartwatch,North,245.1
2011-06-12,Smartwatch,North,253.63
2011-06-13,Tablet,Central,203.38
2011-06-14,Tablet,East,247.21
2011-06-15,Laptop,South,232.67
2011-06-16,Smartphone,East,242.13
2011-06-17,Accessory,North,268.22
2011-06-18,Accessory,South,213.88
2011-06-19,Smartphone,East,200.38
2011-06-20,Laptop,North,196.19
2011-06-21,Smartphone,South,197.24
2011-06-22,Smartphone,South,214.91
2011-06-23,Accessory,North,224.57
2011-06-24,Laptop,South,222.16
2011-06-25,Tablet,North,235.12
2011-06-26,Accessory,West,213.96
2011-06-27,Tablet,West,249.16
2011-06-28,Laptop,South,205.4
2011-06-29,Smartphone,South,279.21
2011-06-30,Smartwatch,North,226.04
2011-07-01,Smartwatch,South,188.16
2011-07-02,Laptop,Central,182.01
2011-07-03,Smartwatch,West,220.03
2011-07-04,Tablet,South,201.57
2011-07-05,Smartwatch,South,224.2
2011-07-06,Laptop,East,217.37
2011-07-07,Laptop,South,202.91
2011-07-08,Tablet,Central,182.76
2011-07-09,Smartwatch,West,165.25
2011-07-10,Smartwatch,East,191.16
2011-07-11,Smartphone,North,222.93
2011-07-12,Accessory,North,206.08
2011-07-13,Laptop,West,168.78
2011-07-14,Smartphone,North,203.47
2011-07-15,Laptop,Central,207.98
2011-07-16,Smartphone,South,175.46
2011-07-17,Accessory,West,200.62
2011-07-18,Smartphone,East,197.46
2011-07-19,Laptop,South,166.65
2011-07-20,Smartwatch,North,203.4
2011-07-21,Laptop,North,207.71
2011-07-22,Tablet,East,220.01
2011-07-23,Tablet,Central,218.52
2011-07-24,Tablet,East,156.98
2011-07-25,Tablet,West,167.24
2011-07-26,Accessory,East,202.82
2011-07-27,Smartwatch,North,202.06
2011-07-28,Smartwatch,Central,201.36
2011-07-29,Laptop,Central,284.08
2011-07-30,Smartphone,East,201.32
2011-07-31,Laptop,West,214.73
2011-08-01,Laptop,North,209.5
2011-08-02,Laptop,South,201.24
2011-08-03,Laptop,Central,176.39
2011-08-04,Smartwatch,East,202.57
2011-08-05,Smartphone,West,163.61
2011-08-06,Laptop,West,176.35
2011-08-07,Smartwatch,North,169.48
2011-08-08,Laptop,Central,183.02
2011-08-09,Tablet,North,238.2
2011-08-10,Laptop,South,133.03
2011-08-11,Laptop,South,196.25
2011-08-12,Accessory,South,138.17
2011-08-13,Tablet,West,166.1
2011-08-14,Smartphone,Central,204.53
2011-08-15,Laptop,North,178.34
2011-08-16,Smartphone,North,149.22
2011-08-17,Tablet,South,157.73
2011-08-18,Laptop,Central,192.05
2011-08-19,Accessory,Central,156.27
2011-08-20,Smartwatch,East,179.42
2011-08-21,Accessory,Central,174.63
2011-08-22,Accessory,Central,156.7
2011-08-23,Smartwatch,North,226.1
2011-08-24,Smartwatch,Central,187.87
2011-08-25,Smartwatch,Central,120.93
2011-08-26,Laptop,North,175.77
2011-08-27,Smartphone,Central,154.12
2011-08-28,Smartphone,North,191.54
2011-08-29,Smartwatch,East,150.0
2011-08-30,Accessory,West,166.54
2011-08-31,Tablet,North,181.64
2011-09-01,Smartwatch,North,190.28
2011-09-02,Accessory,Central,138.26
2011-09-03,Accessory,North,159.55
2011-09-04,Laptop,South,155.7
2011-09-05,Laptop,South,150.91
2011-09-06,Smartphone,East,211.07
2011-09-07,Smartphone,North,176.75
2011-09-08,Tablet,Central,134.82
2011-09-09,Tablet,Central,189.01
2011-09-10,Tablet,West,218.86
2011-09-11,Tablet,East,191.37
2011-09-12,Accessory,Central,127.35
2011-09-13,Accessory,West,153.01
2011-09-14,Smartphone,Central,196.58
2011-09-15,Laptop,West,147.03
2011-09-16,Laptop,South,175.64
2011-09-17,Smartwatch,South,183.75
2011-09-18,Accessory,Central,141.06
2011-09-19,Tablet,East,162.61
2011-09-20,Tablet,North,82.95
2011-09-21,Smartwatch,East,138.27
2011-09-22,Laptop,East,157.48
2011-09-23,Tablet,North,132.52
2011-09-24,Laptop,South,204.47
2011-09-25,Smartwatch,South,127.86
2011-09-26,Laptop,North,152.58
2011-09-27,Laptop,West,166.83
2011-09-28,Laptop,East,199.6
2011-09-29,Tablet,Central,127.68
2011-09-30,Smartphone,South,192.69
2011-10-01,Accessory,Central,163.91
2011-10-02,Laptop,North,139.17
2011-10-03,Laptop,Central,175.33
2011-10-04,Laptop,Central,168.85
2011-10-05,Smartphone,East,148.97
2011-10-06,Smartwatch,North,165.83
2011-10-07,Tablet,Central,154.59
2011-10-08,Smartphone,South,167.21
2011-10-09,Laptop,North,181.08
2011-10-10,Smartphone,South,204.36
2011-10-11,Smartphone,West,133.95
2011-10-12,Smartphone,Central,218.43
2011-10-13,Smartwatch,North,116.52
2011-10-14,Accessory,South,161.76
2011-10-15,Tablet,Central,180.51
2011-10-16,Smartwatch,East,173.09
2011-10-17,Smartwatch,South,150.78
2011-10-18,Accessory,South,161.44
2011-10-19,Smartwatch,West,154.62
2011-10-20,Smartphone,East,152.53
2011-10-21,Smartphone,West,188.84
2011-10-22,Laptop,East,176.87
2011-10-23,Smartwatch,South,150.99
2011-10-24,Laptop,West,191.17
2011-10-25,Tablet,Central,176.76
2011-10-26,Smartphone,East,189.8
2011-10-27,Tablet,South,185.63
2011-10-28,Accessory,North,149.6
2011-10-29,Smartphone,East,156.76
2011-10-30,Tablet,East,189.9
2011-10-31,Accessory,Central,186.95
2011-11-01,Tablet,East,171.65
2011-11-02,Accessory,East,175.6
2011-11-03,Accessory,Central,205.11
2011-11-04,Smartphone,Central,158.9
2011-11-05,Laptop,West,187.9
2011-11-06,Accessory,South,169.71
2011-11-07,Accessory,South,169.88
2011-11-08,Smartphone,West,203.36
2011-11-09,Laptop,South,197.11
2011-11-10,Smartwatch,East,197.4
2011-11-11,Smartwatch,West,210.3
2011-11-12,Laptop,West,178.8
2011-11-13,Tablet,South,195.95
2011-11-14,Smartphone,North,171.78
2011-11-15,Laptop,South,188.29
2011-11-16,Smartwatch,North,177.59
2011-11-17,Accessory,West,183.94
2011-11-18,Smartwatch,North,197.07
2011-11-19,Accessory,East,162.42
2011-11-20,Smartphone,Central,235.88
2011-11-21,Accessory,North,159.13
2011-11-22,Laptop,Central,154.64
2011-11-23,Accessory,East,214.68
2011-11-24,Tablet,Central,206.25
2011-11-25,Laptop,East,202.81
2011-11-26,Smartphone,Central,203.66
2011-11-27,Laptop,Central,188.41
2011-11-28,Tablet,South,167.05
2011-11-29,Smartphone,North,192.16
2011-11-30,Smartwatch,Central,174.12
2011-12-01,Tablet,West,216.22
2011-12-02,Smartphone,South,188.96
2011-12-03,Accessory,North,172.81
2011-12-04,Laptop,South,186.23
2011-12-05,Smartphone,North,205.4
2011-12-06,Laptop,East,181.82
2011-12-07,Accessory,Central,176.19
2011-12-08,Smartphone,West,203.67
2011-12-09,Smartwatch,South,204.55
2011-12-10,Tablet,South,186.6
2011-12-11,Smartphone,South,188.36
2011-12-12,Accessory,South,206.79
2011-12-13,Smartphone,Central,165.66
2011-12-14,Laptop,North,167.54
2011-12-15,Smartphone,Central,185.64
2011-12-16,Smartwatch,East,199.15
2011-12-17,Smartphone,Central,213.14
2011-12-18,Tablet,Central,243.14
2011-12-19,Smartphone,East,228.58
2011-12-20,Laptop,Central,204.04
2011-12-21,Smartphone,North,208.45
2011-12-22,Smartwatch,West,184.76
2011-12-23,Accessory,East,210.26
2011-12-24,Smartphone,South,204.41
2011-12-25,Smartphone,North,220.6
2011-12-26,Tablet,West,192.76
2011-12-27,Smartwatch,North,227.33
2011-12-28,Accessory,North,253.57
2011-12-29,Laptop,South,213.45
2011-12-30,Smartphone,West,227.12
2011-12-31,Accessory,North,235.24
2012-01-01,Laptop,South,209.08
2012-01-02,Smartwatch,East,225.62
2012-01-03,Smartwatch,South,221.24
2012-01-04,Accessory,Central,224.28
2012-01-05,Laptop,South,203.42
2012-01-06,Smartwatch,South,224.26
2012-01-07,Accessory,South,237.01
2012-01-08,Smartwatch,North,261.74
2012-01-09,Smartwatch,West,250.34
2012-01-10,Smartwatch,South,281.09
2012-01-11,Tablet,South,208.97
2012-01-12,Laptop,Central,250.86
2012-01-13,Accessory,Central,234.52
2012-01-14,Accessory,East,285.57
2012-01-15,Laptop,East,211.5
2012-01-16,Laptop,Central,211.6
2012-01-17,Laptop,West,218.48
2012-01-18,Laptop,East,181.24
2012-01-19,Smartphone,West,222.06
2012-01-20,Accessory,Central,217.09
2012-01-21,Smartphone,East,240.68
2012-01-22,Smartwatch,South,246.32
2012-01-23,Smartwatch,Central,285.52
2012-01-24,Accessory,East,263.22
2012-01-25,Smartwatch,West,225.87
2012-01-26,Laptop,West,218.66
2012-01-27,Smartphone,East,254.25
2012-01-28,Laptop,West,209.76
2012-01-29,Smartwatch,East,289.36
2012-01-30,Smartphone,East,273.86
2012-01-31,Laptop,West,233.44
2012-02-01,Accessory,North,203.13
2012-02-02,Laptop,South,280.58
2012-02-03,Smartwatch,Central,244.64
2012-02-04,Smartphone,South,279.21
2012-02-05,Accessory,Central,209.16
2012-02-06,Smartphone,Central,234.78
2012-02-07,Accessory,South,250.64
2012-02-08,Smartphone,East,252.41
2012-02-09,Smartwatch,West,240.7
2012-02-10,Accessory,North,268.23
2012-02-11,Tablet,North,226.67
2012-02-12,Smartphone,North,250.49
2012-02-13,Smartphone,South,257.74
2012-02-14,Laptop,South,268.26
2012-02-15,Accessory,East,273.85
2012-02-16,Tablet,North,228.6
2012-02-17,Smartwatch,East,219.0
2012-02-18,Laptop,North,289.92
2012-02-19,Tablet,South,266.9
2012-02-20,Accessory,West,240.49
2012-02-21,Tablet,West,298.57
2012-02-22,Smartphone,West,263.27
2012-02-23,Smartphone,West,290.43
2012-02-24,Laptop,Central,263.2
2012-02-25,Accessory,North,313.57
2012-02-26,Accessory,West,306.47
2012-02-27,Tablet,Central,256.89
2012-02-28,Laptop,Central,287.91
2012-02-29,Accessory,Central,280.25
2012-03-01,Smartphone,East,298.82
2012-03-02,Tablet,East,240.95
2012-03-03,Smartwatch,Central,282.69
2012-03-04,Smartphone,West,292.44
2012-03-05,Laptop,North,222.45
2012-03-06,Accessory,South,237.25
2012-03-07,Smartphone,East,216.26
2012-03-08,Smartwatch,West,260.9
2012-03-09,Smartwatch,West,285.95
2012-03-10,Laptop,South,305.94
2012-03-11,Smartphone,South,270.58
2012-03-12,Tablet,West,309.78
2012-03-13,Smartphone,South,234.89
2012-03-14,Smartwatch,West,227.11
2012-03-15,Laptop,South,268.61
2012-03-16,Laptop,South,279.88
2012-03-17,Tablet,West,269.72
2012-03-18,Laptop,Central,219.11
2012-03-19,Laptop,West,268.8
2012-03-20,Laptop,North,238.64
2012-03-21,Laptop,South,288.21
2012-03-22,Laptop,East,280.82
2012-03-23,Smartwatch,South,248.34
2012-03-24,Smartphone,North,259.16
2012-03-25,Accessory,East,245.68
2012-03-26,Laptop,East,270.72
2012-03-27,Accessory,West,296.29
2012-03-28,Accessory,Central,247.88
2012-03-29,Smartwatch,West,285.21
2012-03-30,Laptop,East,259.43
2012-03-31,Accessory,East,252.93
2012-04-01,Laptop,Central,270.12
2012-04-02,Tablet,South,246.95
2012-04-03,Tablet,Central,259.01
2012-04-04,Tablet,West,242.9
2012-04-05,Accessory,South,321.96
2012-04-06,Tablet,West,273.69
2012-04-07,Smartwatch,Central,255.28
2012-04-08,Smartwatch,South,278.06
2012-04-09,Accessory,Central,269.83
2012-04-10,Laptop,North,267.03
2012-04-11,Smartphone,East,287.81
2012-04-12,Laptop,South,291.28
2012-04-13,Laptop,East,258.95
2012-04-14,Laptop,North,257.67
2012-04-15,Laptop,South,265.04
2012-04-16,Smartphone,East,214.19
2012-04-17,Tablet,East,233.67
2012-04-18,Laptop,South,305.53
2012-04-19,Smartwatch,East,312.26
2012-04-20,Accessory,East,264.68
2012-04-21,Accessory,South,285.08
2012-04-22,Smartwatch,East,278.19
2012-04-23,Laptop,East,347.11
2012-04-24,Smartphone,West,297.85
2012-04-25,Tablet,West,266.36
2012-04-26,Accessory,North,245.36
2012-04-27,Tablet,West,228.76
2012-04-28,Smartphone,West,273.67
2012-04-29,Accessory,North,249.33
2012-04-30,Tablet,East,232.31
2012-05-01,Smartphone,East,251.33
2012-05-02,Tablet,West,240.07
2012-05-03,Laptop,North,308.88
2012-05-04,Smartphone,East,288.33
2012-05-05,Tablet,Central,265.66
2012-05-06,Laptop,South,302.42
2012-05-07,Laptop,South,266.9
2012-05-08,Smartphone,South,242.97
2012-05-09,Smartwatch,West,302.11
2012-05-10,Accessory,South,277.02
2012-05-11,Smartphone,South,237.11
2012-05-12,Laptop,Central,257.78
2012-05-13,Laptop,East,240.12
2012-05-14,Smartphone,Central,226.91
2012-05-15,Smartwatch,West,284.09
2012-05-16,Accessory,South,308.12
2012-05-17,Tablet,East,224.86
2012-05-18,Smartphone,South,273.32
2012-05-19,Accessory,South,242.4
2012-05-20,Accessory,West,245.89
2012-05-21,Laptop,South,242.66
2012-05-22,Tablet,North,235.25
2012-05-23,Smartphone,East,257.44
2012-05-24,Laptop,East,234.83
2012-05-25,Laptop,North,261.72
2012-05-26,Smartwatch,West,253.05
2012-05-27,Accessory,South,247.68
2012-05-28,Smartphone,South,230.3
2012-05-29,Smartphone,East,237.89
2012-05-30,Smartphone,West,270.51
2012-05-31,Laptop,West,263.46
2012-06-01,Smartwatch,West,225.8
2012-06-02,Tablet,South,252.02
2012-06-03,Laptop,West,267.61
2012-06-04,Tablet,North,206.37
2012-06-05,Smartwatch,Central,260.97
2012-06-06,Accessory,West,230.09
2012-06-07,Smartphone,Central,260.18
2012-06-08,Tablet,South,226.09
2012-06-09,Laptop,West,199.3
2012-06-10,Tablet,East,202.98
2012-06-11,Accessory,South,244.11
2012-06-12,Smartphone,North,248.64
2012-06-13,Tablet,North,218.77
2012-06-14,Accessory,Central,256.57
2012-06-15,Laptop,Central,198.29
2012-06-16,Smartwatch,East,237.39
2012-06-17,Laptop,East,207.99
2012-06-18,Smartphone,North,221.18
2012-06-19,Laptop,West,237.87
2012-06-20,Laptop,North,214.38
2012-06-21,Laptop,North,225.48
2012-06-22,Laptop,East,259.45
2012-06-23,Smartphone,Central,219.07
2012-06-24,Accessory,East,253.58
2012-06-25,Tablet,East,203.64
2012-06-26,Smartwatch,East,244.32
2012-06-27,Tablet,North,266.31
2012-06-28,Tablet,West,167.67
2012-06-29,Smartwatch,North,208.73
2012-06-30,Smartphone,South,242.26
2012-07-01,Smartwatch,East,221.95
2012-07-02,Smartphone,East,235.5
2012-07-03,Tablet,South,210.31
2012-07-04,Smartphone,East,226.76
2012-07-05,Accessory,East,219.9
2012-07-06,Smartwatch,East,252.18
2012-07-07,Accessory,South,228.54
2012-07-08,Tablet,North,229.81
2012-07-09,Smartwatch,East,210.27
2012-07-10,Tablet,West,207.58
2012-07-11,Accessory,South,208.16
2012-07-12,Tablet,Central,228.04
2012-07-13,Smartwatch,South,206.86
2012-07-14,Smartwatch,North,223.84
2012-07-15,Tablet,South,267.7
2012-07-16,Smartwatch,Central,236.81
2012-07-17,Smartwatch,West,206.1
2012-07-18,Tablet,Central,243.51
2012-07-19,Accessory,South,202.51
2012-07-20,Smartwatch,Central,160.99
2012-07-21,Smartwatch,South,185.98
2012-07-22,Smartwatch,West,163.66
2012-07-23,Smartwatch,West,200.89
2012-07-24,Tablet,North,209.39
2012-07-25,Accessory,West,250.1
2012-07-26,Accessory,East,215.63
2012-07-27,Smartphone,Central,201.26
2012-07-28,Smartwatch,Central,226.75
2012-07-29,Smartwatch,South,150.02
2012-07-30,Smartphone,West,210.49
2012-07-31,Accessory,North,223.17
2012-08-01,Laptop,North,166.24
2012-08-02,Laptop,North,231.11
2012-08-03,Accessory,East,210.31
2012-08-04,Smartwatch,West,190.79
2012-08-05,Laptop,North,216.34
2012-08-06,Tablet,East,256.63
2012-08-07,Tablet,Central,203.77
2012-08-08,Smartphone,South,204.79
2012-08-09,Accessory,West,186.48
2012-08-10,Accessory,West,176.1
2012-08-11,Laptop,Central,217.5
2012-08-12,Smartwatch,West,174.74
2012-08-13,Accessory,West,197.35
2012-08-14,Laptop,West,183.04
2012-08-15,Laptop,West,206.39
2012-08-16,Accessory,East,202.2
2012-08-17,Laptop,East,219.25
2012-08-18,Smartphone,South,180.03
2012-08-19,Smartphone,West,185.51
2012-08-20,Accessory,Central,167.28
2012-08-21,Smartwatch,North,180.14
2012-08-22,Smartphone,South,200.19
2012-08-23,Smartphone,North,209.2
2012-08-24,Accessory,North,166.75
2012-08-25,Tablet,West,211.09
2012-08-26,Laptop,Central,222.8
2012-08-27,Smartphone,North,198.82
2012-08-28,Tablet,North,234.98
2012-08-29,Smartwatch,South,168.31
2012-08-30,Tablet,Central,156.15
2012-08-31,Accessory,Central,142.42
2012-09-01,Smartwatch,North,223.92
2012-09-02,Smartwatch,Central,202.52
2012-09-03,Tablet,South,184.43
2012-09-04,Accessory,South,192.49
2012-09-05,Smartphone,South,157.04
2012-09-06,Tablet,West,246.02
2012-09-07,Smartphone,North,187.82
2012-09-08,Tablet,Central,187.05
2012-09-09,Smartphone,South,202.2
2012-09-10,Tablet,North,195.84
2012-09-11,Smartwatch,North,189.18
2012-09-12,Laptop,West,163.6
2012-09-13,Smartwatch,Central,194.94
2012-09-14,Smartphone,Central,230.02
2012-09-15,Accessory,South,216.43
2012-09-16,Smartwatch,South,222.46
2012-09-17,Laptop,North,169.7
2012-09-18,Smartphone,Central,157.61
2012-09-19,Smartwatch,Central,179.09
2012-09-20,Tablet,South,183.52
2012-09-21,Accessory,East,209.39
2012-09-22,Smartphone,North,139.65
2012-09-23,Smartwatch,Central,220.14
2012-09-24,Smartphone,West,177.91
2012-09-25,Tablet,West,171.16
2012-09-26,Laptop,East,156.51
2012-09-27,Smartwatch,South,140.44
2012-09-28,Smartphone,South,202.41
2012-09-29,Smartphone,South,183.69
2012-09-30,Smartphone,West,149.65
2012-10-01,Laptop,South,149.58
2012-10-02,Smartphone,West,173.64
2012-10-03,Accessory,East,223.84
2012-10-04,Accessory,North,175.73
2012-10-05,Smartphone,Central,144.76
2012-10-06,Accessory,East,176.33
2012-10-07,Smartwatch,West,175.8
2012-10-08,Accessory,East,115.36
2012-10-09,Smartphone,Central,181.6
2012-10-10,Tablet,North,177.37
2012-10-11,Smartwatch,Central,200.76
2012-10-12,Laptop,West,229.8
2012-10-13,Smartphone,Central,211.97
2012-10-14,Laptop,East,177.33
2012-10-15,Tablet,South,156.66
2012-10-16,Laptop,East,248.93
2012-10-17,Smartphone,West,186.37
2012-10-18,Smartphone,North,185.54
2012-10-19,Tablet,Central,184.91
2012-10-20,Smartphone,North,190.8
2012-10-21,Tablet,West,182.59
2012-10-22,Tablet,Central,172.22
2012-10-23,Smartphone,East,173.26
2012-10-24,Accessory,East,186.5
2012-10-25,Tablet,West,174.14
2012-10-26,Smartphone,Central,170.32
2012-10-27,Accessory,East,191.23
2012-10-28,Tablet,West,182.64
2012-10-29,Accessory,West,227.07
2012-10-30,Smartwatch,North,123.66
2012-10-31,Smartwatch,East,217.71
2012-11-01,Accessory,Central,222.07
2012-11-02,Tablet,East,139.59
2012-11-03,Smartphone,East,183.37
2012-11-04,Laptop,East,183.19
2012-11-05,Smartphone,West,157.83
2012-11-06,Laptop,South,174.13
2012-11-07,Laptop,South,166.38
2012-11-08,Tablet,North,238.53
2012-11-09,Accessory,East,218.7
2012-11-10,Smartphone,South,227.7
2012-11-11,Accessory,North,214.57
2012-11-12,Smartwatch,West,168.93
2012-11-13,Tablet,East,184.68
2012-11-14,Tablet,Central,210.67
2012-11-15,Smartwatch,West,168.54
2012-11-16,Smartphone,North,217.59
2012-11-17,Smartwatch,West,194.43
2012-11-18,Smartphone,Central,191.76
2012-11-19,Laptop,West,219.6
2012-11-20,Tablet,North,213.64
2012-11-21,Smartphone,Central,194.22
2012-11-22,Accessory,Central,232.96
2012-11-23,Accessory,West,177.68
2012-11-24,Tablet,Central,220.85
2012-11-25,Smartwatch,West,221.03
2012-11-26,Smartwatch,East,199.23
2012-11-27,Smartphone,Central,215.89
2012-11-28,Smartwatch,West,177.23
2012-11-29,Tablet,East,232.4
2012-11-30,Smartphone,Central,205.47
2012-12-01,Laptop,East,197.82
2012-12-02,Smartwatch,Central,237.92
2012-12-03,Smartwatch,North,194.9
2012-12-04,Smartphone,North,178.12
2012-12-05,Accessory,West,175.24
2012-12-06,Smartwatch,South,230.14
2012-12-07,Tablet,North,183.82
2012-12-08,Smartwatch,South,260.55
2012-12-09,Laptop,East,165.48
2012-12-10,Smartwatch,East,260.79
2012-12-11,Accessory,South,224.52
2012-12-12,Smartwatch,West,217.69
2012-12-13,Smartphone,Central,207.36
2012-12-14,Smartwatch,South,231.83
2012-12-15,Accessory,South,221.79
2012-12-16,Smartphone,South,251.2
2012-12-17,Tablet,South,227.36
2012-12-18,Smartphone,South,229.15
2012-12-19,Laptop,West,217.19
2012-12-20,Smartphone,North,225.76
2012-12-21,Tablet,Central,235.77
2012-12-22,Smartwatch,North,186.22
2012-12-23,Smartphone,South,196.18
2012-12-24,Smartphone,North,249.37
2012-12-25,Smartphone,West,235.96
2012-12-26,Smartphone,East,228.0
2012-12-27,Tablet,North,233.97
2012-12-28,Accessory,Central,243.1
2012-12-29,Accessory,West,221.83
2012-12-30,Smartphone,East,216.78
2012-12-31,Tablet,West,242.04
2013-01-01,Tablet,South,212.95
2013-01-02,Smartphone,East,248.53
2013-01-03,Laptop,Central,196.66
2013-01-04,Smartphone,East,265.87
2013-01-05,Laptop,Central,252.86
2013-01-06,Smartphone,South,248.35
2013-01-07,Laptop,Central,267.42
2013-01-08,Laptop,West,285.4
2013-01-09,Smartphone,North,270.02
2013-01-10,Laptop,West,199.54
2013-01-11,Smartwatch,West,214.47
